estacion,anio,semana,CO,NO,NO2,NOX,O3,PM10,PM2.5,PRS,RAINF,RH,SO2,SR,TOUT,WSR,WDR,WDR_E,WDR_N,WDR_NE,WDR_NO,WDR_O,WDR_S,WDR_SE,WDR_SO,ndvi_mediana
NE3,2022,2022-10-31,0.606,9.5,7.6,15.9,45.6,20.0,,729.0,0.0,75.0,3.4,0.0,20.9,4.4,133.0,0.23214285714285715,0.03571428571428571,0.023809523809523808,0.2261904761904762,0.08928571428571429,0.047619047619047616,0.31547619047619047,0.011904761904761904,0.126811109483242
NE3,2022,2022-11-07,0.6465000000000001,9.2,5.3,13.5,43.5,21.0,,732.0,0.0,66.5,3.3,0.0,21.55,6.6,120.5,0.26785714285714285,0.02976190476190476,0.017857142857142856,0.1130952380952381,0.05357142857142857,0.05357142857142857,0.43452380952380953,0.005952380952380952,0.0442983694374561
NE3,2022,2022-11-14,0.699,8.9,8.6,16.4,47.5,17.0,,737.0,0.0,77.5,3.0,0.0005,10.5,6.0,309.0,0.14285714285714285,0.05357142857142857,0.005952380952380952,0.5416666666666666,0.05952380952380952,0.047619047619047616,0.1130952380952381,0.023809523809523808,0.1784107983112335
NE3,2022,2022-11-21,0.799,9.7,8.55,17.4,18.35,23.0,,731.0,0.0,86.5,3.5,0.002,13.8,5.5,291.0,0.11904761904761904,0.041666666666666664,0.011904761904761904,0.4642857142857143,0.1130952380952381,0.005952380952380952,0.20238095238095238,0.023809523809523808,0.0022988505661487
NE3,2022,2022-11-28,0.867,10.4,9.6,19.7,15.1,31.0,,734.0,0.0,86.0,3.7,0.0,17.95,1.2,184.5,0.15476190476190477,0.02976190476190476,0.03571428571428571,0.2619047619047619,0.15476190476190477,0.07738095238095238,0.24404761904761904,0.02976190476190476,0.236432284116745
NE3,2022,2022-12-05,0.125,15.4,8.1,23.25,15.5,42.0,,730.0,0.0,86.0,3.3,0.0,19.6,3.0,105.0,0.3630952380952381,0.03571428571428571,0.14285714285714285,0.041666666666666664,0.17857142857142858,0.02976190476190476,0.07738095238095238,0.07738095238095238,0.015425803605467
NE3,2022,2022-12-12,0.224,17.9,13.1,33.5,13.649999999999999,67.0,,728.0,0.0,70.0,3.3,0.0,17.4,3.7,250.0,0.17857142857142858,0.011904761904761904,0.03571428571428571,0.047619047619047616,0.2857142857142857,0.005952380952380952,0.011904761904761904,0.05952380952380952,0.2523629367351532
NE3,2022,2022-12-19,0.408,10.55,7.55,17.25,22.7,23.0,,735.0,0.0,60.0,2.0,0.0,9.8,5.9,106.0,0.3869047619047619,0.023809523809523808,0.05952380952380952,0.14285714285714285,0.1130952380952381,0.023809523809523808,0.06547619047619048,0.05952380952380952,0.2388934716582298
NE3,2022,2022-12-26,0.55,12.8,15.9,28.9,18.9,46.0,,729.0,0.0,50.0,2.5,0.0,15.6,5.0,247.0,0.31547619047619047,0.017857142857142856,0.023809523809523808,0.07142857142857142,0.40476190476190477,0.005952380952380952,0.011904761904761904,0.13095238095238096,0.1606174409389495
NE3,2023,2023-01-02,0.4185,9.149999999999999,10.649999999999999,18.65,16.9,49.0,,732.0,0.0,54.0,3.0,0.0,19.05,5.5,173.0,0.39880952380952384,0.011904761904761904,0.03571428571428571,0.041666666666666664,0.3273809523809524,0.0,0.02976190476190476,0.09523809523809523,0.1866882741451263
NE3,2023,2023-01-09,0.292,8.0,11.0,17.5,23.5,39.0,,735.0,0.0,41.0,2.4,0.0,16.45,6.55,214.0,0.2155688622754491,0.005988023952095809,0.03592814371257485,0.11976047904191617,0.15568862275449102,0.03592814371257485,0.05389221556886228,0.059880239520958084,0.1729069054126739
NE3,2023,2023-01-16,0.3405,9.05,10.4,18.35,23.450000000000003,50.5,,729.0,0.0,44.5,2.4,0.0,17.85,5.9,231.5,0.32142857142857145,0.017857142857142856,0.03571428571428571,0.041666666666666664,0.3273809523809524,0.017857142857142856,0.06547619047619048,0.125,-0.0029863560339435
NE3,2023,2023-01-23,0.37,8.5,10.850000000000001,18.2,21.2,32.0,,732.0,0.0,57.0,2.1,0.004,13.4,5.95,121.0,0.2976190476190476,0.02976190476190476,0.17261904761904762,0.10714285714285714,0.18452380952380953,0.047619047619047616,0.041666666666666664,0.10714285714285714,0.0950930640101432
NE3,2023,2023-01-30,0.424,17.3,8.9,25.1,11.649999999999999,20.5,,735.0,0.0,79.0,2.0,0.009,9.5,6.3,180.0,0.30952380952380953,0.011904761904761904,0.07142857142857142,0.11904761904761904,0.30952380952380953,0.023809523809523808,0.08928571428571429,0.047619047619047616,0.1677061542868614
NE3,2023,2023-02-06,0.4725,14.4,10.55,23.85,29.9,32.0,,732.0,0.0,41.0,2.1,0.0035,16.2,8.0,111.5,0.3413173652694611,0.017964071856287425,0.12574850299401197,0.16766467065868262,0.20958083832335328,0.005988023952095809,0.041916167664670656,0.059880239520958084,0.0813762806355953
NE3,2023,2023-02-13,0.532,13.95,10.149999999999999,23.1,32.900000000000006,42.5,,730.0,0.0,33.0,2.3,0.0,16.6,7.6,248.0,0.22023809523809523,0.047619047619047616,0.08928571428571429,0.24404761904761904,0.20833333333333334,0.005952380952380952,0.02976190476190476,0.08928571428571429,0.1182871162891388
NE3,2023,2023-02-20,0.502,18.9,8.6,26.25,20.6,51.0,,728.0,0.0,55.0,2.4,0.001,23.35,7.1,90.0,0.42857142857142855,0.017857142857142856,0.16071428571428573,0.03571428571428571,0.19047619047619047,0.017857142857142856,0.017857142857142856,0.07142857142857142,0.1459129154682159
NE3,2023,2023-02-27,0.627,14.850000000000001,8.85,23.1,30.75,67.0,,726.0,0.0,37.5,2.3,0.0,23.55,6.55,96.5,0.375,0.023809523809523808,0.1130952380952381,0.07738095238095238,0.19642857142857142,0.005952380952380952,0.041666666666666664,0.08333333333333333,0.1423357650637626
NE3,2023,2023-03-06,0.609,17.4,7.2,23.799999999999997,22.9,49.0,,728.0,0.0,60.0,2.0,0.001,24.9,8.3,82.0,0.5297619047619048,0.03571428571428571,0.16071428571428573,0.05952380952380952,0.10119047619047619,0.017857142857142856,0.03571428571428571,0.041666666666666664,0.125881128013134
NE3,2023,2023-03-13,0.6875,13.75,7.6,20.15,32.2,22.0,,732.0,0.0,67.0,1.6,0.01,16.7,8.75,117.5,0.34523809523809523,0.011904761904761904,0.09523809523809523,0.10119047619047619,0.1130952380952381,0.05357142857142857,0.20238095238095238,0.02976190476190476,-0.0303283985704183
NE3,2023,2023-03-20,0.702,15.7,7.9,23.0,28.75,41.0,,727.0,0.0,59.5,2.0,0.026000000000000002,23.15,7.6,92.0,0.48214285714285715,0.02976190476190476,0.16071428571428573,0.02976190476190476,0.16666666666666666,0.0,0.041666666666666664,0.07738095238095238,0.0547847375273704
NE3,2023,2023-04-03,0.344,15.850000000000001,7.8,21.799999999999997,25.6,30.0,,732.0,0.0,78.0,2.1,0.012,19.2,6.55,163.0,0.30357142857142855,0.041666666666666664,0.08928571428571429,0.17261904761904762,0.19642857142857142,0.047619047619047616,0.07142857142857142,0.07738095238095238,-0.0265049915760755
NE3,2023,2023-04-17,0.316,13.3,6.5,18.9,30.55,33.0,,727.0,0.0,71.0,2.0,0.0195,23.5,10.4,83.0,0.5714285714285714,0.02976190476190476,0.1488095238095238,0.07142857142857142,0.10119047619047619,0.023809523809523808,0.047619047619047616,0.005952380952380952,0.1246072053909301
NE3,2023,2023-04-24,0.396,13.2,7.6,19.9,30.3,29.0,,727.0,0.0,60.5,2.2,0.034,22.7,7.85,115.0,0.3869047619047619,0.005952380952380952,0.09523809523809523,0.15476190476190477,0.17857142857142858,0.017857142857142856,0.07142857142857142,0.06547619047619048,0.1234936754917725
NE3,2023,2023-05-08,0.4875,15.6,7.55,22.2,30.25,34.0,,726.0,0.0,74.0,2.2,0.013,24.1,8.350000000000001,96.0,0.4642857142857143,0.05357142857142857,0.1130952380952381,0.02976190476190476,0.11904761904761904,0.03571428571428571,0.11904761904761904,0.06547619047619048,-0.0031774851959198
NE3,2023,2023-05-22,0.428,14.9,6.0,19.6,28.5,18.5,,728.0,0.0,69.0,2.5,0.058499999999999996,25.6,10.149999999999999,82.0,0.7083333333333334,0.03571428571428571,0.15476190476190477,0.0,0.0,0.02976190476190476,0.047619047619047616,0.023809523809523808,0.1828529834747314
NE3,2023,2023-05-29,0.535,11.350000000000001,8.05,18.55,23.4,18.0,,726.0,0.0,74.0,3.4,0.028,25.65,10.5,81.0,0.6607142857142857,0.005952380952380952,0.13690476190476192,0.017857142857142856,0.13095238095238096,0.005952380952380952,0.02976190476190476,0.005952380952380952,0.302554041147232
NE3,2023,2023-06-05,0.5894999999999999,,,,25.4,28.0,,726.0,0.0,67.5,4.1,0.034,27.8,8.1,87.0,0.6428571428571429,0.023809523809523808,0.10714285714285714,0.03571428571428571,0.047619047619047616,0.017857142857142856,0.07142857142857142,0.023809523809523808,0.2865897566080093
