estacion,semana,ndvi_mediana,imagenes_utilizadas,pixeles_validos
NE3,2025-02-24,0.11260957270860672,1,7845
NE3,2025-03-03,0.15297284722328186,2,15690
NE3,2025-03-10,0.17523810267448425,1,7845
NE3,2025-03-17,0.13054075092077255,2,15690
NE3,2025-03-24,0.13163667172193527,2,15690
NE3,2025-03-31,0.0807163268327713,1,7845
NE3,2025-04-07,0.15814751386642456,3,23535
NE3,2025-04-14,0.15157292783260345,1,7845
NE3,2025-04-21,-0.036590270698070526,1,7845
NE3,2025-04-28,0.14145436137914658,2,15690
NE3,2025-05-05,-0.005602923221886158,1,7845
NE3,2025-05-12,0.06768324039876461,2,15690
NE3,2025-05-19,0.1315862536430359,2,15690
NE3,2025-05-26,-0.0222646314650774,1,7845
NE3,2025-06-02,0.17890018969774246,2,15690
NE3,2025-06-09,0.15025746822357178,2,15690
NE3,2025-06-16,0.2711804211139679,1,7845
NE3,2025-06-23,0.1930021271109581,2,15690
NE3,2025-06-30,,0,0
NE3,2025-07-07,0.09276777133345604,2,15690
NE3,2025-07-14,0.22302460670471191,2,15690
NE3,2025-07-21,0.19237373769283295,2,15690
NE3,2025-07-28,0.22617611289024353,1,7845
NE3,2025-08-04,0.20027079433202744,2,15690
NE3,2025-08-11,0.19315937161445618,2,15690
NE3,2025-08-18,0.12970711290836334,1,7845
NE3,2025-08-25,0.24675200879573822,2,15690
NE3,2025-09-01,0.22112874686717987,1,7845
NE3,2025-09-08,0.12734082341194153,1,7845
NE3,2025-09-15,0.11308236047625542,2,15690
NE3,2025-09-22,0.37960168719291687,1,7845
NE3,2025-09-29,0.37840786576271057,1,7845
NE3,2025-10-06,0.06274962984025478,2,15690
NE3,2025-10-13,0.3690067231655121,1,7845
NE3,2025-10-20,0.2591642811894417,2,15690
NE3,2025-10-27,0.38520972430706024,2,15690
NE3,2025-11-03,0.33943815529346466,2,15690
NE3,2025-11-10,0.32599571347236633,2,15690
NE3,2025-11-17,0.057784322649240494,1,7845
NE3,2025-11-24,0.18218224123120308,2,15690
NE3,2025-12-01,0.20716112852096558,1,7845
NE3,2025-12-08,0.12792638037353754,2,15690
NE3,2025-12-15,0.29015809297561646,1,7845
NE3,2025-12-22,0.188601516187191,2,15690
NE3,2025-12-29,,0,0
